Designation,Company,Rating,Reviews_Count,Industry,Location_Info,Experience,Salary_Range,Salary_Min_LPA,Salary_Max_LPA,Highly_Rated_For,Critically_Rated_For
Software Engineer,F5 Networks,3.2,160,IT Services & Consulting,Hyderabad +5 other locations,0 - 7 yrs exp.,₹ 15.4 L/yr - ₹ 20.7 L/yr,15.4,20.7,,"Job Security, Promotions, Work Satisfaction"
Software Engineer,Unacademy,3.0,2.3k,EdTech,Hyderabad +75 other locations,0 - 3 yrs exp.,₹ 15 L/yr - ₹ 20.6 L/yr,15,20.6,,"Job Security, Promotions, Work Life Balance"
Software Engineer,Deutsche Bank,3.8,4.7k,Banking,Hyderabad +43 other locations,0 - 6 yrs exp.,₹ 16.3 L/yr - ₹ 19.2 L/yr,16.3,19.2,"Work Life Balance, Job Security, Company Culture","Promotions, Skill Development"
Software Engineer,Zscaler Softech,3.2,470,Software Product,Hyderabad +15 other locations,0 - 6 yrs exp.,₹ 14.2 L/yr - ₹ 21.1 L/yr,14.2,21.1,,"Job Security, Promotions, Work Satisfaction"
Software Engineer,ClearTax,3.0,410,IT Services & Consulting,Hyderabad +10 other locations,0 - 3 yrs exp.,₹ 14.2 L/yr - ₹ 21.1 L/yr,14.2,21.1,,"Job Security, Promotions, Work Satisfaction"
Software Engineer,New Relic,2.6,63,Internet,Hyderabad +1 other locations,0 - 6 yrs exp.,₹ 14.5 L/yr - ₹ 20.8 L/yr,14.5,20.8,,"Job Security, Promotions, Company Culture"
Software Engineer,Nutanix,3.4,205,Software Product,Hyderabad +6 other locations,0 - 4 yrs exp.,₹ 14.2 L/yr - ₹ 21.1 L/yr,14.2,21.1,,"Promotions, Job Security, Work Satisfaction"
Software Engineer,Meesho,3.7,2.3k,Internet,Hyderabad +142 other locations,0 - 4 yrs exp.,₹ 14.5 L/yr - ₹ 20.8 L/yr,14.5,20.8,Salary,"Job Security, Promotions"
Software Engineer,Unique Identification Authority of India,3.7,356,IT Services & Consulting,Hyderabad +98 other locations,0 - 2 yrs exp.,₹ 14.9 L/yr - ₹ 19.8 L/yr,14.9,19.8,,"Promotions, Job Security, Company Culture"
Software Engineer,Amazon,3.9,33.2k,Internet,Hyderabad +553 other locations,0 - 6 yrs exp.,₹ 15.8 L/yr - ₹ 18.9 L/yr,15.8,18.9,"Company Culture, Work Life Balance, Salary",Promotions
